Customer ID,Customer Name,Customer Age,Gender,Location,Annual Income ($),Purchase History,Loyalty Points,Last Purchase Date,Customer Feedback,Preferred Contact Method,Marital Status,Number of Dependents,Membership Start Date
ea713a9e-6e7b-45af-ace1-70a87bfeb24d,Alicia Good,57,Female,North Stephaniehaven,228296.91,49,18002,2023-01-07,Satisfied,In-Person,Single,0,2022-09-07
931d7c51-7cef-404d-9888-acdcbd03297d,Stephen Miller,47,Male,West Bruceport,49225.62,2,2627,2023-12-20,Neutral,Phone,Divorced,4,2021-03-16
eef66618-0d62-4335-9c9d-984dc7e2bc9c,Karen Olsen,20,Male,Lake Garrettshire,53062.14,6,566,2024-03-10,Dissatisfied,Email,Divorced,3,2016-12-25
417c3922-d253-49c6-8cb3-3f04be91d90f,Christy Green,53,Female,Kurtton,39687.06,28,4175,2023-11-29,Satisfied,SMS,Widowed,0,2019-07-03
b7e98bdb-71dd-4493-a993-2a186ab0df7a,Nicole Boone,72,Female,New Amanda,37836.35,8,3053,2023-04-10,Satisfied,In-Person,Divorced,0,2022-01-03
56dbb63b-61bf-4a80-ba72-e74521942e81,Justin Petersen,71,Female,Obrienberg,21444.29,9,7974,2022-11-06,Neutral,SMS,Single,2,2015-02-04
ef05f2f9-3956-4284-b025-e950c904bbfe,Roger Williams Jr.,48,Male,Port Lauraland,29859.41,8,2012,2023-03-26,Very Satisfied,Email,Divorced,0,2019-11-30
1e3fb0de-280e-47ee-906a-79534d86cd67,Debbie Wilson,46,Female,Heatherport,21687.44,10,7755,2024-03-24,Very Dissatisfied,In-Person,Divorced,1,2015-07-19
f0e7b45f-8eeb-4a4b-80e8-23bef444e0d3,Jessica Smith,67,Female,North Markfort,42480.26,14,7947,2023-03-26,Satisfied,Email,Single,2,2016-10-15
edb7128e-7267-4904-8464-e8cad000cb83,Amy Garcia,19,Male,Port Heathertown,44618.37,13,4122,2022-10-04,Very Satisfied,Phone,Divorced,5,2021-07-05
60683921-117e-48e9-83d7-1bcd5d4b96a4,Anthony Rush,65,Female,Lake Deborah,112867.2,25,5655,2022-11-18,Very Satisfied,Email,Divorced,4,2023-04-12
38c125f1-c9b0-434d-bc70-1bfd50231d26,Nicholas Scott,60,Male,Lake Margaret,22179.13,31,9248,2022-10-08,Very Satisfied,In-Person,Widowed,2,2019-07-31
fc1fa676-b99d-4f0a-af45-64b583ac0f09,Rebecca Young,56,Male,Lake Amandamouth,47231.18,33,5824,2023-03-29,Dissatisfied,In-Person,Widowed,3,2016-05-08
5753dcee-4b21-4a1f-8f57-407257923738,Andrew Moss,72,Female,South Zachary,50751.49,34,6479,2023-10-02,Very Dissatisfied,SMS,Widowed,0,2021-05-20
1cb3c82f-c783-4249-923f-e405df2d53b3,Brian Vega,46,Male,Padillaside,67447.05,14,6563,2024-06-25,Neutral,Phone,Divorced,0,2018-04-17
e2d52aee-9962-42a5-8a8f-56f4b4c7262b,Leah Bowers,57,Female,West Jenniferton,39504.42,27,2201,2023-02-03,Satisfied,Phone,Divorced,1,2022-05-06
5d78a116-4480-4ecb-8939-d5d0cf2c7f98,Chad Cobb,39,Male,Andersonmouth,27533.57,13,5736,2022-11-16,Satisfied,Email,Divorced,5,2020-10-19
3f937a3d-166b-4c26-9cdf-8994c497d814,Andrew Cox,29,Female,Carterfort,82014.8,44,870,2023-05-14,Very Dissatisfied,Phone,Married,2,2021-01-10
60151def-ab12-4874-a6de-25fda55c0f0f,Robin Jacobs,28,Male,North Shawnchester,102480.67,6,6645,2024-05-21,Neutral,Email,Divorced,4,2016-10-15
8809d668-f536-470f-b117-b1d494c27905,Thomas Wall,59,Male,Pamelaberg,30578.56,40,733,2024-03-05,Very Satisfied,SMS,Divorced,0,2019-05-24
b509d18e-d55e-4204-9112-08d31ffb1d86,Anthony Cooper,31,Male,North Loriland,53637.45,46,4151,2024-07-18,Satisfied,Phone,Married,5,2023-03-16
02d01632-696b-4ef3-aa1f-37933b912891,Patricia Short,68,Female,Westview,87481.56,21,6444,2023-08-20,Dissatisfied,In-Person,Married,3,2020-07-04
f260a790-5146-4e6e-9929-bf57813299a2,Robert Wolfe,67,Female,East Jose,38371.51,37,3893,2023-04-05,Dissatisfied,In-Person,Divorced,0,2018-10-31
80bec294-02fe-4f56-a7c8-5c681e010d1d,Jessica Henderson,51,Male,Lake Toniville,106356.59,14,9249,2023-09-11,Satisfied,Phone,Widowed,0,2017-04-09
038a8cff-d959-483b-b0ef-77d109657e1a,Alex Bradford,64,Female,Port Matthew,99368.22,27,6826,2024-01-02,Satisfied,Phone,Divorced,1,2022-08-28
408d14d0-b8b3-49d0-8a12-ef30ca327c4f,Sabrina Jennings,72,Female,West Bethville,109043.34,2,1801,2023-04-17,Satisfied,In-Person,Single,1,2018-06-16
ad316f81-3415-4b13-9c41-e1a56d6d0a2d,Kayla Miller,37,Male,New Michael,106155.59,36,1329,2024-03-21,Neutral,Phone,,3,2019-07-19
5c22086e-21da-4415-be16-c5276e4536dc,Charles Ramos,40,Male,Martinfurt,30472.8,14,6250,2023-03-16,Very Dissatisfied,Email,Widowed,5,2016-02-21
7638322b-49a9-4ed6-a856-920adc8ab8fc,Joseph Cox,64,Male,Michaelburgh,43265.4,41,1773,2023-07-30,Dissatisfied,In-Person,Widowed,2,2022-11-16
825f5b9d-a806-45cc-a4e2-e5169a26d316,Mark Shepard,39,Male,Randybury,61983.37,11,2697,2024-07-20,Satisfied,SMS,Divorced,0,2023-06-21
a30eb9c0-f639-463c-bc37-678bae98291d,Justin Smith,45,Male,South Samanthabury,54143.55,19,4897,2024-07-11,Neutral,SMS,Single,1,2021-07-19
a2b8f9ae-f5f7-44f8-a0bf-720348bd82c6,Kurt Wilkinson,66,Female,Wayneville,35715.8,27,8124,2024-02-16,Very Dissatisfied,Phone,Married,3,2017-02-01
